Child Index,Position X,Position Y,Position Z
8,11.9327,-0.1613496,11.12873
Cube,12.57378,0.3061658,10.78743
1,12.82845,-0.5213546,10.80621
2,13.2965,0.2371916,11.25957
3,12.72917,0.03356168,9.980247
4,13.19722,0.7921079,10.43361
5,12.31911,1.133686,10.76865
6,11.85107,0.37514,10.31528
7,12.41839,0.57877,11.59461
8,11.95035,-0.1797762,11.14124
Cube,12.58636,0.3070793,10.81947
1,12.858,-0.5152203,10.81354
2,13.30898,0.2383585,11.2918
3,12.74968,0.06288105,10.00479
4,13.20066,0.8164599,10.48306
5,12.31472,1.129379,10.8254
6,11.86374,0.3758,10.34713
7,12.42305,0.5512775,11.63414
8,11.97207,-0.2023014,11.15588
Cube,12.59629,0.3070774,10.84515
1,12.88144,-0.5102539,10.81958
2,13.31884,0.2385142,11.3176
3,12.7655,0.08589557,10.02512
4,13.20289,0.8346636,10.52315
5,12.31113,1.124409,10.87072
6,11.87373,0.3756406,10.37269
7,12.42707,0.5282593,11.66517
8,11.98968,-0.2205088,11.16714
Cube,12.60607,0.3064587,10.87076
1,12.90466,-0.5052204,10.82579
2,13.32855,0.2380476,11.34334
3,12.78078,0.1084239,10.04598
4,13.20468,0.8516918,10.56354
5,12.30748,1.118138,10.91573
6,11.88358,0.3748698,10.39817
7,12.43135,0.5044935,11.69554
